,18978
và,2940
có,2445
người,2303
của,2112
không,2031
các,1941
trong,1866
là,1785
một,1773
cho,1684
tôi,1556
với,1473
được,1461
ở,1315
những,1261
khi,1259
để,1241
bệnh,1149
đã,1136
công,1070
từ,982
học,981
thể,971
nhà,968
cũng,953
đến,951
tại,915
về,901
dịch,872
việc,871
nhiều,852
ra,852
nhân,844
ngày,827
đó,827
làm,825
này,775
trên,774
như,773
bị,762
cách,744
số,729
động,715
vào,695
phải,689
hiện,676
hơn,661
sẽ,660
năm,653
chỉ,652
chúng,650
hàng,646
lại,638
điều,636
gia,633
đầu,628
tế,624
theo,622
vì,618
nhưng,604
đang,600
thành,592
viên,580
đồng,577
thời,562
đi,558
sau,558
con,558
nước,547
trường,540
chính,532
sự,531
y,523
covid-19,512
anh,508
biết,501
định,497
bộ,487
trước,482
quan,480
qua,479
còn,478
nhiễm,478
nhất,478
cơ,467
sinh,467
hai,464
thông,463
xe,460
nói,460
nhận,460
thực,459
bạn,456
quốc,454
trung,454
dụng,449
ông,444
hình,434
họ,431
nam,421
việt,417
tiếp,417
phòng,414
viện,410
giá,404
cả,403
thế,403
toàn,398
hợp,397
cầu,395
cần,390
nội,388
tập,388
tính,386
do,385
đại,383
vẫn,379
bảo,373
tình,367
ca,367
phát,365
dân,363
tin,357
gian,348
đây,348
khác,347
ly,346
nên,346
mới,343
sản,342
nếu,342
hành,341
tháng,341
mà,341
rất,338
hà,337
cùng,332
lên,331
cô,330
khách,327
phương,317
-,313
lý,313
tới,312
vụ,310
ta,310
giải,309
thì,308
lớn,307
chưa,306
gần,306
thị,305
bản,304
mình,304
xuất,302
ngoài,302
chủ,301
tự,300
hay,299
máy,298
giảm,298
thấy,297
cao,297
chức,293
đường,291
hoạt,289
sĩ,287
.,284
nơi,284
yêu,283
tiền,282
điểm,280
giới,278
cuộc,277
hoặc,275
chống,275
mọi,274
tác,274
triệu,273
sống,273
thiết,273
báo,272
kết,271
độ,270
nay,269
trị,268
nghiệm,267
rằng,266
nghiệp,265
hội,265
cảnh,265
tâm,265
cấp,263
lây,263
thủ,261
ncov,259
phố,258
pháp,257
lần,254
em,253
liên,252
bình,250
an,250
tài,248
sử,247
mỗi,247
khó,246
tăng,246
doanh,245
trình,244
tổ,242
mỹ,242
đề,242
nào,241
bằng,241
đình,241
cảm,240
đối,240
ý,239
lượng,239
cửa,238
diễn,236
trở,235
năng,233
xét,233
mẹ,233
thường,232
bố,230
quyết,229
ảnh,228
hôm,228
đưa,228
mặt,227
phần,226
cộng,224
giờ,224
xã,223
trang,223
hệ,223
kinh,222
án,221
tạo,221
nhiên,221
thân,221
thống,220
trẻ,219
bay,218
quá,215
muốn,214
sở,213
tuổi,213
ba,213
thứ,213
kiểm,210
vậy,210
ứng,207
giúp,207
quả,206
tay,206
bác,206
lúc,205
kiến,204
ăn,203
thức,201
nhau,201
khu,201
thêm,200
truyền,200
địa,200
khoảng,199
bắt,197
đội,196
sức,195
trực,195
hiệu,194
vật,194
tuyến,192
từng,191
dự,190
chuyện,189
tốt,189
chiến,189
hạn,188
dùng,187
lan,186
đều,184
cứu,183
bất,183
tham,183
chứng,182
đóng,182
nghĩ,182
tư,182
sáng,181
bên,181
điện,181
thu,181
chế,181
gì,181
giáo,180
tuy,180
ban,179
thương,179
hướng,179
trợ,179
rồi,178
phủ,177
giao,176
khiến,176
nghỉ,176
tiếng,175
du,175
tuần,175
hết,175
thay,175
sát,175
tỉnh,173
tối,172
